task,response,choices,domain,response_type,id,sequence,rt,enc_task,enc_response,gender,education,guessed,task_opinion1,effort_finding_answer,like_syllog,strategy,strategy_description,quantifier_most,tired,attentive,certain,serious_participation,study_comment,similar_experiments,session
Some;butchers;packers/Most not;butchers;tutors,Some not;packers;tutors,All;packers;tutors|All;tutors;packers|No;packers;tutors|No;tutors;packers|Some;packers;tutors|Some;tutors;packers|Some not;packers;tutors|Some not;tutors;packers|Most;packers;tutors|Most;tutors;packers|Most not;packers;tutors|Most not;tutors;packers|NVC,syllogistic-generalized,single-choice,participant_2,12,18379.0,ID4,Oac,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
Most;painters;auditors/Some not;painters;cleaners,Some;auditors;cleaners,All;auditors;cleaners|All;cleaners;auditors|No;auditors;cleaners|No;cleaners;auditors|Some;auditors;cleaners|Some;cleaners;auditors|Some not;auditors;cleaners|Some not;cleaners;auditors|Most;auditors;cleaners|Most;cleaners;auditors|Most not;auditors;cleaners|Most not;cleaners;auditors|NVC,syllogistic-generalized,single-choice,participant_2,13,5617.0,TO4,Iac,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
Some;sculptors;gamblers/Most;gamblers;bakers,Some;sculptors;bakers,All;sculptors;bakers|All;bakers;sculptors|No;sculptors;bakers|No;bakers;sculptors|Some;sculptors;bakers|Some;bakers;sculptors|Some not;sculptors;bakers|Some not;bakers;sculptors|Most;sculptors;bakers|Most;bakers;sculptors|Most not;sculptors;bakers|Most not;bakers;sculptors|NVC,syllogistic-generalized,single-choice,participant_2,14,8947.0,IT1,Iac,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
Most;cleaners;auditors/No;auditors;painters,NVC,All;cleaners;painters|All;painters;cleaners|No;cleaners;painters|No;painters;cleaners|Some;cleaners;painters|Some;painters;cleaners|Some not;cleaners;painters|Some not;painters;cleaners|Most;cleaners;painters|Most;painters;cleaners|Most not;cleaners;painters|Most not;painters;cleaners|NVC,syllogistic-generalized,single-choice,participant_2,15,2128.0,TE1,NVC,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
Some not;joggers;counselors/Some not;riders;joggers,NVC,All;counselors;riders|All;riders;counselors|No;counselors;riders|No;riders;counselors|Some;counselors;riders|Some;riders;counselors|Some not;counselors;riders|Some not;riders;counselors|Most;counselors;riders|Most;riders;counselors|Most not;counselors;riders|Most not;riders;counselors|NVC,syllogistic-generalized,single-choice,participant_2,16,40439.0,OO2,NVC,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
No;dancers;typists/No;boxers;typists,NVC,All;dancers;boxers|All;boxers;dancers|No;dancers;boxers|No;boxers;dancers|Some;dancers;boxers|Some;boxers;dancers|Some not;dancers;boxers|Some not;boxers;dancers|Most;dancers;boxers|Most;boxers;dancers|Most not;dancers;boxers|Most not;boxers;dancers|NVC,syllogistic-generalized,single-choice,participant_2,17,27570.0,EE3,NVC,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
All;chemists;potters/No;chemists;sailors,No;sailors;potters,All;potters;sailors|All;sailors;potters|No;potters;sailors|No;sailors;potters|Some;potters;sailors|Some;sailors;potters|Some not;potters;sailors|Some not;sailors;potters|Most;potters;sailors|Most;sailors;potters|Most not;potters;sailors|Most not;sailors;potters|NVC,syllogistic-generalized,single-choice,participant_2,18,10058.0,AE4,Eca,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
Some;florists;soldiers/All;soldiers;editors,Some;florists;editors,All;florists;editors|All;editors;florists|No;florists;editors|No;editors;florists|Some;florists;editors|Some;editors;florists|Some not;florists;editors|Some not;editors;florists|Most;florists;editors|Most;editors;florists|Most not;florists;editors|Most not;editors;florists|NVC,syllogistic-generalized,single-choice,participant_2,19,4206.0,IA1,Iac,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
All;painters;actors/Most;workers;actors,Most;painters;workers,All;painters;workers|All;workers;painters|No;painters;workers|No;workers;painters|Some;painters;workers|Some;workers;painters|Some not;painters;workers|Some not;workers;painters|Most;painters;workers|Most;workers;painters|Most not;painters;workers|Most not;workers;painters|NVC,syllogistic-generalized,single-choice,participant_2,20,32220.0,AT3,Tac,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
Most not;plumbers;dentists/Some not;plumbers;lifeguards,NVC,All;dentists;lifeguards|All;lifeguards;dentists|No;dentists;lifeguards|No;lifeguards;dentists|Some;dentists;lifeguards|Some;lifeguards;dentists|Some not;dentists;lifeguards|Some not;lifeguards;dentists|Most;dentists;lifeguards|Most;lifeguards;dentists|Most not;dentists;lifeguards|Most not;lifeguards;dentists|NVC,syllogistic-generalized,single-choice,participant_2,21,3913.0,DO4,NVC,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
Some;managers;models/Most not;clerks;managers,NVC,All;models;clerks|All;clerks;models|No;models;clerks|No;clerks;models|Some;models;clerks|Some;clerks;models|Some not;models;clerks|Some not;clerks;models|Most;models;clerks|Most;clerks;models|Most not;models;clerks|Most not;clerks;models|NVC,syllogistic-generalized,single-choice,participant_2,22,25864.0,ID2,NVC,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
No;waiters;poets/Some;cashiers;poets,No;cashiers;waiters,All;waiters;cashiers|All;cashiers;waiters|No;waiters;cashiers|No;cashiers;waiters|Some;waiters;cashiers|Some;cashiers;waiters|Some not;waiters;cashiers|Some not;cashiers;waiters|Most;waiters;cashiers|Most;cashiers;waiters|Most not;waiters;cashiers|Most not;cashiers;waiters|NVC,syllogistic-generalized,single-choice,participant_2,23,4678.0,EI3,Eca,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
Some not;hunters;athletes/Some;lawyers;hunters,NVC,All;athletes;lawyers|All;lawyers;athletes|No;athletes;lawyers|No;lawyers;athletes|Some;athletes;lawyers|Some;lawyers;athletes|Some not;athletes;lawyers|Some not;lawyers;athletes|Most;athletes;lawyers|Most;lawyers;athletes|Most not;athletes;lawyers|Most not;lawyers;athletes|NVC,syllogistic-generalized,single-choice,participant_2,24,2715.0,OI2,NVC,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
Some not;bankers;golfers/Most;golfers;teachers,Some;bankers;teachers,All;bankers;teachers|All;teachers;bankers|No;bankers;teachers|No;teachers;bankers|Some;bankers;teachers|Some;teachers;bankers|Some not;bankers;teachers|Some not;teachers;bankers|Most;bankers;teachers|Most;teachers;bankers|Most not;bankers;teachers|Most not;teachers;bankers|NVC,syllogistic-generalized,single-choice,participant_2,25,3112.0,OT1,Iac,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
All;opticians;boxers/Some;boxers;actuaries,Some;actuaries;opticians,All;opticians;actuaries|All;actuaries;opticians|No;opticians;actuaries|No;actuaries;opticians|Some;opticians;actuaries|Some;actuaries;opticians|Some not;opticians;actuaries|Some not;actuaries;opticians|Most;opticians;actuaries|Most;actuaries;opticians|Most not;opticians;actuaries|Most not;actuaries;opticians|NVC,syllogistic-generalized,single-choice,participant_2,26,4117.0,AI1,Ica,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
Some;cooks;swimmers/No;mayors;swimmers,NVC,All;cooks;mayors|All;mayors;cooks|No;cooks;mayors|No;mayors;cooks|Some;cooks;mayors|Some;mayors;cooks|Some not;cooks;mayors|Some not;mayors;cooks|Most;cooks;mayors|Most;mayors;cooks|Most not;cooks;mayors|Most not;mayors;cooks|NVC,syllogistic-generalized,single-choice,participant_2,27,1454.0,IE3,NVC,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
Most not;novelists;analysts/Most;travelers;analysts,NVC,All;novelists;travelers|All;travelers;novelists|No;novelists;travelers|No;travelers;novelists|Some;novelists;travelers|Some;travelers;novelists|Some not;novelists;travelers|Some not;travelers;novelists|Most;novelists;travelers|Most;travelers;novelists|Most not;novelists;travelers|Most not;travelers;novelists|NVC,syllogistic-generalized,single-choice,participant_2,28,3696.0,DT3,NVC,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
Most;scientists;chefs/No;scientists;runners,NVC,All;chefs;runners|All;runners;chefs|No;chefs;runners|No;runners;chefs|Some;chefs;runners|Some;runners;chefs|Some not;chefs;runners|Some not;runners;chefs|Most;chefs;runners|Most;runners;chefs|Most not;chefs;runners|Most not;runners;chefs|NVC,syllogistic-generalized,single-choice,participant_2,29,1327.0,TE4,NVC,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
No;lifeguards;plumbers/Most;plumbers;dentists,NVC,All;lifeguards;dentists|All;dentists;lifeguards|No;lifeguards;dentists|No;dentists;lifeguards|Some;lifeguards;dentists|Some;dentists;lifeguards|Some not;lifeguards;dentists|Some not;dentists;lifeguards|Most;lifeguards;dentists|Most;dentists;lifeguards|Most not;lifeguards;dentists|Most not;dentists;lifeguards|NVC,syllogistic-generalized,single-choice,participant_2,30,4428.0,ET1,NVC,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
No;fencers;campers/Most;engineers;fencers,NVC,All;campers;engineers|All;engineers;campers|No;campers;engineers|No;engineers;campers|Some;campers;engineers|Some;engineers;campers|Some not;campers;engineers|Some not;engineers;campers|Most;campers;engineers|Most;engineers;campers|Most not;campers;engineers|Most not;engineers;campers|NVC,syllogistic-generalized,single-choice,participant_2,31,2437.0,ET2,NVC,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
All;singers;pilots/All;singers;tailors,All;pilots;tailors,All;pilots;tailors|All;tailors;pilots|No;pilots;tailors|No;tailors;pilots|Some;pilots;tailors|Some;tailors;pilots|Some not;pilots;tailors|Some not;tailors;pilots|Most;pilots;tailors|Most;tailors;pilots|Most not;pilots;tailors|Most not;tailors;pilots|NVC,syllogistic-generalized,single-choice,participant_2,32,3184.0,AA4,Aac,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
Most;models;clerks/Most not;managers;models,NVC,All;clerks;managers|All;managers;clerks|No;clerks;managers|No;managers;clerks|Some;clerks;managers|Some;managers;clerks|Some not;clerks;managers|Some not;managers;clerks|Most;clerks;managers|Most;managers;clerks|Most not;clerks;managers|Most not;managers;clerks|NVC,syllogistic-generalized,single-choice,participant_2,33,5260.0,TD2,NVC,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
Some not;porters;brewers/Most not;judges;brewers,NVC,All;porters;judges|All;judges;porters|No;porters;judges|No;judges;porters|Some;porters;judges|Some;judges;porters|Some not;porters;judges|Some not;judges;porters|Most;porters;judges|Most;judges;porters|Most not;porters;judges|Most not;judges;porters|NVC,syllogistic-generalized,single-choice,participant_2,34,15851.0,OD3,NVC,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
Most not;assistants;scholars/Some not;farmers;scholars,NVC,All;assistants;farmers|All;farmers;assistants|No;assistants;farmers|No;farmers;assistants|Some;assistants;farmers|Some;farmers;assistants|Some not;assistants;farmers|Some not;farmers;assistants|Most;assistants;farmers|Most;farmers;assistants|Most not;assistants;farmers|Most not;farmers;assistants|NVC,syllogistic-generalized,single-choice,participant_2,35,1846.0,DO3,NVC,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
Some;climbers;doctors/No;climbers;tellers,NVC,All;doctors;tellers|All;tellers;doctors|No;doctors;tellers|No;tellers;doctors|Some;doctors;tellers|Some;tellers;doctors|Some not;doctors;tellers|Some not;tellers;doctors|Most;doctors;tellers|Most;tellers;doctors|Most not;doctors;tellers|Most not;tellers;doctors|NVC,syllogistic-generalized,single-choice,participant_2,36,2672.0,IE4,NVC,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
No;chemists;sailors/Most;chemists;potters,NVC,All;sailors;potters|All;potters;sailors|No;sailors;potters|No;potters;sailors|Some;sailors;potters|Some;potters;sailors|Some not;sailors;potters|Some not;potters;sailors|Most;sailors;potters|Most;potters;sailors|Most not;sailors;potters|Most not;potters;sailors|NVC,syllogistic-generalized,single-choice,participant_2,37,2552.0,ET4,NVC,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
No;secretaries;brokers/No;secretaries;agents,NVC,All;brokers;agents|All;agents;brokers|No;brokers;agents|No;agents;brokers|Some;brokers;agents|Some;agents;brokers|Some not;brokers;agents|Some not;agents;brokers|Most;brokers;agents|Most;agents;brokers|Most not;brokers;agents|Most not;agents;brokers|NVC,syllogistic-generalized,single-choice,participant_2,38,2732.0,EE4,NVC,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
Some;analysts;novelists/Some;travelers;novelists,NVC,All;analysts;travelers|All;travelers;analysts|No;analysts;travelers|No;travelers;analysts|Some;analysts;travelers|Some;travelers;analysts|Some not;analysts;travelers|Some not;travelers;analysts|Most;analysts;travelers|Most;travelers;analysts|Most not;analysts;travelers|Most not;travelers;analysts|NVC,syllogistic-generalized,single-choice,participant_2,39,2711.0,II3,NVC,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
All;actors;drillers/Most not;nurses;drillers,Some;nurses;actors,All;actors;nurses|All;nurses;actors|No;actors;nurses|No;nurses;actors|Some;actors;nurses|Some;nurses;actors|Some not;actors;nurses|Some not;nurses;actors|Most;actors;nurses|Most;nurses;actors|Most not;actors;nurses|Most not;nurses;actors|NVC,syllogistic-generalized,single-choice,participant_2,40,4518.0,AD3,Ica,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
No;architects;designers/Some not;trainers;designers,NVC,All;architects;trainers|All;trainers;architects|No;architects;trainers|No;trainers;architects|Some;architects;trainers|Some;trainers;architects|Some not;architects;trainers|Some not;trainers;architects|Most;architects;trainers|Most;trainers;architects|Most not;architects;trainers|Most not;trainers;architects|NVC,syllogistic-generalized,single-choice,participant_2,41,2028.0,EO3,NVC,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
No;athletes;lawyers/Most not;hunters;lawyers,NVC,All;athletes;hunters|All;hunters;athletes|No;athletes;hunters|No;hunters;athletes|Some;athletes;hunters|Some;hunters;athletes|Some not;athletes;hunters|Some not;hunters;athletes|Most;athletes;hunters|Most;hunters;athletes|Most not;athletes;hunters|Most not;hunters;athletes|NVC,syllogistic-generalized,single-choice,participant_2,42,1923.0,ED3,NVC,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
All;soldiers;editors/Most not;editors;florists,Some;soldiers;florists,All;soldiers;florists|All;florists;soldiers|No;soldiers;florists|No;florists;soldiers|Some;soldiers;florists|Some;florists;soldiers|Some not;soldiers;florists|Some not;florists;soldiers|Most;soldiers;florists|Most;florists;soldiers|Most not;soldiers;florists|Most not;florists;soldiers|NVC,syllogistic-generalized,single-choice,participant_2,43,3519.0,AD1,Iac,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
Some;mayors;swimmers/Some;cooks;mayors,NVC,All;swimmers;cooks|All;cooks;swimmers|No;swimmers;cooks|No;cooks;swimmers|Some;swimmers;cooks|Some;cooks;swimmers|Some not;swimmers;cooks|Some not;cooks;swimmers|Most;swimmers;cooks|Most;cooks;swimmers|Most not;swimmers;cooks|Most not;cooks;swimmers|NVC,syllogistic-generalized,single-choice,participant_2,44,1808.0,II2,NVC,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
All;counselors;riders/Some;counselors;joggers,Some;joggers;riders,All;riders;joggers|All;joggers;riders|No;riders;joggers|No;joggers;riders|Some;riders;joggers|Some;joggers;riders|Some not;riders;joggers|Some not;joggers;riders|Most;riders;joggers|Most;joggers;riders|Most not;riders;joggers|Most not;joggers;riders|NVC,syllogistic-generalized,single-choice,participant_2,45,2673.0,AI4,Ica,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
No;poets;skaters/Some not;miners;poets,NVC,All;skaters;miners|All;miners;skaters|No;skaters;miners|No;miners;skaters|Some;skaters;miners|Some;miners;skaters|Some not;skaters;miners|Some not;miners;skaters|Most;skaters;miners|Most;miners;skaters|Most not;skaters;miners|Most not;miners;skaters|NVC,syllogistic-generalized,single-choice,participant_2,46,10305.0,EO2,NVC,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
No;actuaries;opticians/All;boxers;actuaries,No;boxers;opticians,All;opticians;boxers|All;boxers;opticians|No;opticians;boxers|No;boxers;opticians|Some;opticians;boxers|Some;boxers;opticians|Some not;opticians;boxers|Some not;boxers;opticians|Most;opticians;boxers|Most;boxers;opticians|Most not;opticians;boxers|Most not;boxers;opticians|NVC,syllogistic-generalized,single-choice,participant_2,47,3970.0,EA2,Eca,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
Some;carpenters;divers/Most;linguists;divers,NVC,All;carpenters;linguists|All;linguists;carpenters|No;carpenters;linguists|No;linguists;carpenters|Some;carpenters;linguists|Some;linguists;carpenters|Some not;carpenters;linguists|Some not;linguists;carpenters|Most;carpenters;linguists|Most;linguists;carpenters|Most not;carpenters;linguists|Most not;linguists;carpenters|NVC,syllogistic-generalized,single-choice,participant_2,48,1629.0,IT3,NVC,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
Some;assistants;scholars/All;farmers;assistants,Some;farmers;scholars,All;scholars;farmers|All;farmers;scholars|No;scholars;farmers|No;farmers;scholars|Some;scholars;farmers|Some;farmers;scholars|Some not;scholars;farmers|Some not;farmers;scholars|Most;scholars;farmers|Most;farmers;scholars|Most not;scholars;farmers|Most not;farmers;scholars|NVC,syllogistic-generalized,single-choice,participant_2,49,3139.0,IA2,Ica,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
All;fencers;campers/All;campers;engineers,All;fencers;engineers,All;fencers;engineers|All;engineers;fencers|No;fencers;engineers|No;engineers;fencers|Some;fencers;engineers|Some;engineers;fencers|Some not;fencers;engineers|Some not;engineers;fencers|Most;fencers;engineers|Most;engineers;fencers|Most not;fencers;engineers|Most not;engineers;fencers|NVC,syllogistic-generalized,single-choice,participant_2,50,4147.0,AA1,Aac,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
All;buyers;cyclists/Most not;students;buyers,Some;students;cyclists,All;cyclists;students|All;students;cyclists|No;cyclists;students|No;students;cyclists|Some;cyclists;students|Some;students;cyclists|Some not;cyclists;students|Some not;students;cyclists|Most;cyclists;students|Most;students;cyclists|Most not;cyclists;students|Most not;students;cyclists|NVC,syllogistic-generalized,single-choice,participant_2,51,3124.0,AD2,Ica,male,doctorate,0,50,50,25,yes,I imagined three groups as circles of a ven diagram,no,17,75,30,yes,,,1
Some not;chemists;potters/Most;sailors;potters,Some;sailors;chemists,All;chemists;sailors|All;sailors;chemists|No;chemists;sailors|No;sailors;chemists|Some;chemists;sailors|Some;sailors;chemists|Some not;chemists;sailors|Some not;sailors;chemists|Most;chemists;sailors|Most;sailors;chemists|Most not;chemists;sailors|Most not;sailors;chemists|NVC,syllogistic-generalized,single-choice,participant_2,52,8729.0,OT3,Ica,male,doctorate,5,50,75,50,yes,just imagined the groups in my head,no,10,90,50,yes,none,no,2
Some not;doctors;tellers/No;climbers;doctors,NVC,All;tellers;climbers|All;climbers;tellers|No;tellers;climbers|No;climbers;tellers|Some;tellers;climbers|Some;climbers;tellers|Some not;tellers;climbers|Some not;climbers;tellers|Most;tellers;climbers|Most;climbers;tellers|Most not;tellers;climbers|Most not;climbers;tellers|NVC,syllogistic-generalized,single-choice,participant_2,53,2033.0,OE2,NVC,male,doctorate,5,50,75,50,yes,just imagined the groups in my head,no,10,90,50,yes,none,no,2
Some;artists;surfers/Some not;surfers;planners,NVC,All;artists;planners|All;planners;artists|No;artists;planners|No;planners;artists|Some;artists;planners|Some;planners;artists|Some not;artists;planners|Some not;planners;artists|Most;artists;planners|Most;planners;artists|Most not;artists;planners|Most not;planners;artists|NVC,syllogistic-generalized,single-choice,participant_2,54,1950.0,IO1,NVC,male,doctorate,5,50,75,50,yes,just imagined the groups in my head,no,10,90,50,yes,none,no,2
No;barbers;jugglers/No;investors;barbers,NVC,All;jugglers;investors|All;investors;jugglers|No;jugglers;investors|No;investors;jugglers|Some;jugglers;investors|Some;investors;jugglers|Some not;jugglers;investors|Some not;investors;jugglers|Most;jugglers;investors|Most;investors;jugglers|Most not;jugglers;investors|Most not;investors;jugglers|NVC,syllogistic-generalized,single-choice,participant_2,55,2196.0,EE2,NVC,male,doctorate,5,50,75,50,yes,just imagined the groups in my head,no,10,90,50,yes,none,no,2
All;travelers;analysts/Some not;analysts;novelists,Most;novelists;travelers,All;travelers;novelists|All;novelists;travelers|No;travelers;novelists|No;novelists;travelers|Some;travelers;novelists|Some;novelists;travelers|Some not;travelers;novelists|Some not;novelists;travelers|Most;travelers;novelists|Most;novelists;travelers|Most not;travelers;novelists|Most not;novelists;travelers|NVC,syllogistic-generalized,single-choice,participant_2,56,5531.0,AO1,Tca,male,doctorate,5,50,75,50,yes,just imagined the groups in my head,no,10,90,50,yes,none,no,2
All;hikers;drivers/All;writers;hikers,All;writers;drivers,All;drivers;writers|All;writers;drivers|No;drivers;writers|No;writers;drivers|Some;drivers;writers|Some;writers;drivers|Some not;drivers;writers|Some not;writers;drivers|Most;drivers;writers|Most;writers;drivers|Most not;drivers;writers|Most not;writers;drivers|NVC,syllogistic-generalized,single-choice,participant_2,57,2914.0,AA2,Aca,male,doctorate,5,50,75,50,yes,just imagined the groups in my head,no,10,90,50,yes,none,no,2
Most not;therapists;climbers/Some not;skaters;therapists,NVC,All;climbers;skaters|All;skaters;climbers|No;climbers;skaters|No;skaters;climbers|Some;climbers;skaters|Some;skaters;climbers|Some not;climbers;skaters|Some not;skaters;climbers|Most;climbers;skaters|Most;skaters;climbers|Most not;climbers;skaters|Most not;skaters;climbers|NVC,syllogistic-generalized,single-choice,participant_2,58,1413.0,DO2,NVC,male,doctorate,5,50,75,50,yes,just imagined the groups in my head,no,10,90,50,yes,none,no,2
No;farmers;assistants/Some;farmers;scholars,NVC,All;assistants;scholars|All;scholars;assistants|No;assistants;scholars|No;scholars;assistants|Some;assistants;scholars|Some;scholars;assistants|Some not;assistants;scholars|Some not;scholars;assistants|Most;assistants;scholars|Most;scholars;assistants|Most not;assistants;scholars|Most not;scholars;assistants|NVC,syllogistic-generalized,single-choice,participant_2,59,2041.0,EI4,NVC,male,doctorate,5,50,75,50,yes,just imagined the groups in my head,no,10,90,50,yes,none,no,2
Most not;novelists;analysts/Most not;novelists;travelers,NVC,All;analysts;travelers|All;travelers;analysts|No;analysts;travelers|No;travelers;analysts|Some;analysts;travelers|Some;travelers;analysts|Some not;analysts;travelers|Some not;travelers;analysts|Most;analysts;travelers|Most;travelers;analysts|Most not;analysts;travelers|Most not;travelers;analysts|NVC,syllogistic-generalized,single-choice,participant_2,60,2290.0,DD4,NVC,male,doctorate,5,50,75,50,yes,just imagined the groups in my head,no,10,90,50,yes,none,no,2
Some not;cyclists;buyers/Most;cyclists;students,NVC,All;buyers;students|All;students;buyers|No;buyers;students|No;students;buyers|Some;buyers;students|Some;students;buyers|Some not;buyers;students|Some not;students;buyers|Most;buyers;students|Most;students;buyers|Most not;buyers;students|Most not;students;buyers|NVC,syllogistic-generalized,single-choice,participant_2,61,1227.0,OT4,NVC,male,doctorate,5,50,75,50,yes,just imagined the groups in my head,no,10,90,50,yes,none,no,2
Most not;cleaners;auditors/Most not;auditors;painters,NVC,All;cleaners;painters|All;painters;cleaners|No;cleaners;painters|No;painters;cleaners|Some;cleaners;painters|Some;painters;cleaners|Some not;cleaners;painters|Some not;painters;cleaners|Most;cleaners;painters|Most;painters;cleaners|Most not;cleaners;painters|Most not;painters;cleaners|NVC,syllogistic-generalized,single-choice,participant_2,62,1778.0,DD1,NVC,male,doctorate,5,50,75,50,yes,just imagined the groups in my head,no,10,90,50,yes,none,no,2
Most;boxers;typists/Some;typists;dancers,NVC,All;boxers;dancers|All;dancers;boxers|No;boxers;dancers|No;dancers;boxers|Some;boxers;dancers|Some;dancers;boxers|Some not;boxers;dancers|Some not;dancers;boxers|Most;boxers;dancers|Most;dancers;boxers|Most not;boxers;dancers|Most not;dancers;boxers|NVC,syllogistic-generalized,single-choice,participant_2,63,1949.0,TI1,NVC,male,doctorate,5,50,75,50,yes,just imagined the groups in my head,no,10,90,50,yes,none,no,2
All;sculptors;gamblers/No;bakers;gamblers,No;bakers;sculptors,All;sculptors;bakers|All;bakers;sculptors|No;sculptors;bakers|No;bakers;sculptors|Some;sculptors;bakers|Some;bakers;sculptors|Some not;sculptors;bakers|Some not;bakers;sculptors|Most;sculptors;bakers|Most;bakers;sculptors|Most not;sculptors;bakers|Most not;bakers;sculptors|NVC,syllogistic-generalized,single-choice,participant_2,64,3318.0,AE3,Eca,male,doctorate,5,50,75,50,yes,just imagined the groups in my head,no,10,90,50,yes,none,no,2
Most;students;cyclists/Some not;cyclists;buyers,NVC,All;students;buyers|All;buyers;students|No;students;buyers|No;buyers;students|Some;students;buyers|Some;buyers;students|Some not;students;buyers|Some not;buyers;students|Most;students;buyers|Most;buyers;students|Most not;students;buyers|Most not;buyers;students|NVC,syllogistic-generalized,single-choice,participant_2,65,1404.0,TO1,NVC,male,doctorate,5,50,75,50,yes,just imagined the groups in my head,no,10,90,50,yes,none,no,2
Some not;secretaries;brokers/All;secretaries;agents,Some;brokers;agents,All;brokers;agents|All;agents;brokers|No;brokers;agents|No;agents;brokers|Some;brokers;agents|Some;agents;brokers|Some not;brokers;agents|Some not;agents;brokers|Most;brokers;agents|Most;agents;brokers|Most not;brokers;agents|Most not;agents;brokers|NVC,syllogistic-generalized,single-choice,participant_2,66,4383.0,OA4,Iac,male,doctorate,5,50,75,50,yes,just imagined the groups in my head,no,10,90,50,yes,none,no,2
All;miners;poets/Most;poets;skaters,Most;skaters;miners,All;miners;skaters|All;skaters;miners|No;miners;skaters|No;skaters;miners|Some;miners;skaters|Some;skaters;miners|Some not;miners;skaters|Some not;skaters;miners|Most;miners;skaters|Most;skaters;miners|Most not;miners;skaters|Most not;skaters;miners|NVC,syllogistic-generalized,single-choice,participant_2,67,3556.0,AT1,Tca,male,doctorate,5,50,75,50,yes,just imagined the groups in my head,no,10,90,50,yes,none,no,2
